A1	A2	A3	A4	A5	I1	I2	I3	I4	I5	M1	M2	M3	M4	M5
Aegiphila.integrifolia	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Aiouea.amoena	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aiouea.sellowiana	0	0	0	0	0	0	0	2	0	0	2	1	0	5	0
Allophylus.edulis	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
Araucaria.angustifolia	2	0	3	2	1	0	1	1	0	2	3	5	0	8	1
Aspidosperma.olivaceum	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Banara.parviflora	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Banara.tomentosa	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0
Cabralea.canjerana	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Campomanesia.xanthocarpa	0	0	1	2	1	0	0	0	0	0	1	0	2	0	0
Casearia.decandra	2	6	10	2	0	0	1	1	0	4	0	1	0	0	0
Casearia.obliqua	1	2	0	0	3	0	0	0	0	0	0	1	0	0	0
Casearia.sylvestris	0	0	9	0	7	9	1	0	0	10	0	17	0	0	0
Cedrela.fissilis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chrysophyllum.marginatum	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Cinnamodendron.dinisii	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Citronella paniculata	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Clethra.scabra	0	0	0	0	0	0	1	1	3	1	5	1	3	3	8
Cordiera.concolor	9	19	1	0	0	0	0	0	0	0	0	0	0	0	0
Coutarea.hexandra	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Cryptocarya.aschersoniana	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Cupania.vernalis	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Dahlstedtia.floribunda	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dalbergia.brasiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Drimys.brasiliensis	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0
Erythroxylum.deciduum	0	1	0	0	0	2	3	0	4	0	0	0	0	0	0
Eugenia.uniflora	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Ficus.luschnathiana	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gymnanthes.klotzschiana	0	0	1	0	0	1	0	0	2	0	0	0	10	0	0
Ilex.brevicuspis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ilex.dumosa	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1
Ilex.paraguariensis	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0
