        sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15
A10a	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0
A10b	0	0	7	0	0	2	2	0	0	3	0	0	0	0	3
A10c	0	1	2	0	0	0	0	0	1	4	1	0	0	0	0
A11a	0	0	0	1	0	2	5	0	0	3	0	0	0	0	0
A11b	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0
A11c	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
A12a	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0
A12b	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
A12c	0	0	4	0	0	0	1	0	0	0	0	0	0	0	2
A13a	0	0	0	1	0	5	4	0	0	0	0	0	0	0	0
A13b	0	0	0	0	0	2	0	3	0	0	0	0	0	0	4
A13c	0	0	0	1	0	3	0	0	0	0	0	0	0	0	75
A14a	0	0	0	1	0	1	9	0	0	0	0	0	0	0	0
A14b	0	1	0	0	0	0	0	0	0	0	0	0	0	1	39
A14c	0	0	0	1	0	1	0	0	0	0	0	4	2	4	0
A15a	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
A15b	0	0	0	0	0	0	0	0	0	0	0	0	1	0	42
A15c	1	4	0	0	0	1	0	0	0	0	0	0	2	8	1
A16a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
A16b	0	2	0	0	0	0	0	0	0	0	0	0	3	4	45
A16c	0	1	1	0	0	0	0	0	0	0	0	0	1	6	13
